451.45807|ISTEP 14. 1 - mss_memdiag
456.19609|ERRL|E>Error created : PLID=9000000A, RC=E580, Mod=0B, Userdata=0000000000000000 0000000000000000, Sev=RECOVERED
456.19612|PRDF|I>PRD Signature 00000000 00000000
456.19614|PRDF|I>PRD Signature 00050000 00000000
456.19621|SCOM|doMulticastWorkaround on 00050000 for 50040009
456.19879|SCOM|doMulticastWorkaround on 00050000 for 41010A89
456.19958|PRDF|I>PRD Signature 00050000 C4EB0000
456.19961|PRDF|I>PRD Signature 00050000 C4EB0007
456.19964|PRDF|I>PRD Signature 00050000 C4EB0007
456.19998|PRDF|I>PRD Signature 00250000 00000000
456.20153|PRDF|I>PRD Signature 00250000 F5CC0000
456.20158|PRDF|I>PRD Signature 00250000 F5CC0009
456.21370|PRDF|I>PRD Signature 00250000 F5CC0009
456.21462|PRDF|I>PRD Signature 00250000 59930000
456.21471|PRDF|I>PRD Signature 00250000 5993000A
456.21473|PRDF|I>PRD Signature 00250000 5993000A
456.21475|MDIA_FAST|I>sm: processMaintCommandEvent
456.21477|MDIA_FAST|I>sm: processing event for: 250000, target: 250000, type: 2
456.21495|PRDF|[MemTdCtlr::defaultStep] The TD command made it to the end of memory on chip: 0x00250000
456.21511|MDIA_FAST|I>sm: processMaintCommandEvent
456.21513|MDIA_FAST|I>sm: processing event for: 250000, target: 250000, type: 0
456.21517|MDIA_FAST|I>sm: dispatching work item 13 for: 0x00250000, priority: 1, unit: 0
456.21567|MDIA_FAST|I>sm: executing work item 13 for: 0x00250000
456.21583|PRDF|<<PRDF::main()
456.22939|MDIA_FAST|I>sm: all workflows finished
456.22943|MDIA_FAST|I>sm: shutting down...
456.22944|MDIA_FAST|I>Stopping threadPool...
456.23774|MDIA_FAST|I>Stopping monitor...
456.24785|MDIA_FAST|I>cm: CommandMonitor will be shutdown
456.24789|MDIA_FAST|I>sm: ...shutdown complete
456.27532|ATTN_SLOW|I>shutting down...
456.27607|INTR|INTR remove registration of interrupt type = 0x4
456.27609|INTR|I>Removing interrupt listener: 4
456.27611|ATTN_FAST|I>...intr task woke up
456.27612|ATTN_FAST|I>interrupt task shutting down
456.27620|ATTN_FAST|I>...prd task woke up, shutdown: 1, pending: 0
456.27621|ATTN_FAST|I>prd task shutting down
456.27628|ATTN_SLOW|I>..shutdown complete
456.31038|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 5004000000000000
456.31043|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 4004000000000000
456.31051|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0890C21F10800000
456.37428|FAPI|gen_mss_port.H: Read ECC Control register is 0x0890c21f10800000 for pu.mca:k0:n0:s0:p00:c1
456.37724|FAPI|port.H: Set ENABLE_UE_NOISE_WINDOW to 1
456.37728|FAPI|gen_mss_port.H: Change Read ECC Control register to 0x0890c23f10800000 for pu.mca:k0:n0:s0:p00:c1
456.37732|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0890C23F10800000
456.39412|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A06 0000000000000000
456.39416|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A07 0000000048640000
456.39421|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010906 0000000000000000
456.39425|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010907 AD42000000000000
456.39430|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090A 14A0056097000000
456.41313|FAPI|port.H: Data State machine register is 2533359616 for pu.mca:k0:n0:s0:p00:c1
456.41314|FAPI|port.H: WRDONE_DLY: 24 
456.41315|FAPI|port.H: RDTAG_DLY: 28 
456.43217|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200130B
456.43218|FAPI|port.H: FARB0Q is 1107301131 for pu.mca:k0:n0:s0:p00:c1
456.43221|FAPI|port.H: Change FARB0Q_REG to 0x000024804200630b for pu.mca:k0:n0:s0:p00:c1
456.43225|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200630B
456.43227|FAPI|port.H: RCD_PROTECT_TIME 24 for pu.mca:k0:n0:s0:p00:c1
456.43232|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A06 0000000000000000
456.43236|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A07 000240004C640000
456.43241|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A04 FFF93FFFFBFFFFFF
456.43245|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010906 0000000000000000
456.43250|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010907 AD46000000000000
456.43254|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010904 FFFBFFFFFFFFFFFF
456.43259|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A07 000240004C640000
456.43264|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A07 0002400004640000
456.43269|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200630B
456.43273|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200630B
456.43278|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200630B
456.43282|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200610B
456.44226|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090E FE000881F0010042
456.44231|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090E FC000881F0010042
456.44238|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090D 77FFE00033F7FD00
456.44243|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 000000000701090D 73FFE00033F7FD00
456.44390|ISTEPS_TRACE|call_mss_memdiag exit
458.07777|SCOM|doMulticastWorkaround on 00050000 for 50040018
458.07830|SCOM|doMulticastWorkaround on 00050000 for 50040009
458.08637|ERRL|I>Got an error log Msg - Type: 0x00000039
458.08638|ERRL|I>Flush message received
458.09381|INITSVC|<<doIstep: step 14, substep 1
458.09531|INITSVC|>>doIstep: step 14, substep 2, task mss_thermal_init
