440.38906|ISTEP 13.11 - mss_draminit_training
440.60572|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 running cal step 'COARSE_WR/RD'
440.60574|FAPI|conversions.H: converting 40 cycles to 30000ps
440.60576|FAPI|conversions.H: converting 32 cycles to 24000ps
440.60578|FAPI|conversions.H: converting 72 cycles to 54000ps
440.60580|FAPI|conversions.H: converting 9 cycles to 6750ps
440.60582|FAPI|conversions.H: converting 10000000ps to 13334 cycles
440.60584|FAPI|conversions.H: converting 72 cycles to 54000ps
440.60588|FAPI|cal_timers.H: pu.mca:k0:n0:s0:p00:c1 tc: 72c, id: 7ns(72sc), d: 10000(106672sc), pc: 8
440.60590|FAPI|ddr_phy.C: cal_config for pu.mca:k0:n0:s0:p00:c1: 0x0000000000000308
440.60595|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0160701103F 0000000000000308
440.60597|FAPI|ccs.H: loading ccs instructions (1) for pu.mcbist:k0:n0:s0:p00:c0
440.60606|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.60610|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.60614|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.60616|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.60620|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 000000F0CC0000C0
440.60625|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0000000000000041
440.60630|FAPI|ccs.H: css inst 0: 0x000000F0CC0000C0 0x0000000000000041 (0x7012315, 0x7012335) delay: 0x0 (0x0) pu.mcbist:k0:n0:s0:p00:c0
440.60633|FAPI|ccs.H: executing ccs instructions (1:1, 7) for pu.mcbist:k0:n0:s0:p00:c0
440.60637|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 000008F0CC000000
440.60642|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0000000000000020
440.60647|FAPI|ccs.H: css inst 1 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012316, 0x7012336) pu.mcbist:k0:n0:s0:p00:c0
440.60649|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.60654|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.60658|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.60662|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.60666|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.60671|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.60673|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.60678|FAPI|mss_training.H: pu.mca:k0:n0:s0:p00:c1 RP0 cal step 'COARSE_WR/RD' has no post-cal step workaround.
440.60680|FAPI|ddr_phy.C: pu.mca:k0:n0:s0:p00:c1 rank pair: 0
440.60686|FAPI|rank.H: get_pair_valid (rp0, r0): 0x1
440.60687|FAPI|rank.H: get_rank_field (rp0, r0): 0x0
440.60688|FAPI|rank.H: get_pair_valid (rp0, r1): 0x0
440.60690|FAPI|rank.H: get_pair_valid (rp0, r2): 0x0
440.60691|FAPI|rank.H: get_pair_valid (rp0, r3): 0x0
440.60697|FAPI|ddr_phy.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) rank pair 0 is on dimm: dimm:k0:n0:s0:p02 RDIMM (DDR4)
440.60703|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0180701103F 0000000000000000
440.60705|FAPI|phy_cntrl.H: pc_init_cal_error: 0x0000000000000000
440.60708|FAPI|ddr_phy.C: initial cal err: 0x0000000000000000, rp: 0x0000000000000000 (0x0000000000000000)
440.60713|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007A0701103F 0000000000000000
440.60719|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047A0701103F 0000000000000000
440.60724|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087A0701103F 0000000000000000
440.60729|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7A0701103F 0000000000000000
440.60734|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000107A0701103F 0000000000000000
440.60737|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Processing RD_VREF_CAL_ERROR
440.60739|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) RD_VREF_CAL_ERROR complete
440.60745|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000AE0701103F 0000000000000E3A
440.60750|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000AF0701103F 0000000000000000
440.60755|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004AE0701103F 0000000000003A3A
440.60760|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004AF0701103F 0000000000000000
440.60766|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008AE0701103F 0000000000003E3E
440.60770|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008AF0701103F 0000000000000000
440.60776|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CAE0701103F 0000000000003E3A
440.60781|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CAF0701103F 0000000000000000
440.60786|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010AE0701103F 0000000000003A00
440.60791|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010AF0701103F 0000000000000000
440.60796|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000FB0701103F 000000000000FFFF
440.60801|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000FA0701103F 000000000000FFFF
440.60806|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004FB0701103F 000000000000FFFF
440.60811|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004FA0701103F 000000000000FFFF
440.60816|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008FB0701103F 000000000000FFFF
440.60821|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008FA0701103F 000000000000FFFF
440.60826|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CFB0701103F 000000000000FFFF
440.60831|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CFA0701103F 000000000000FFFF
440.60836|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010FB0701103F 000000000000FFFF
440.60841|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010FA0701103F 000000000000FFFF
440.60846|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[0] WR VREF[0] ERROR 0x0000000000000e3a MASK 0x000000000000ffff
440.60851|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[0] WR VREF[1] ERROR 0x0000000000000000 MASK 0x000000000000ffff
440.60855|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[1] WR VREF[0] ERROR 0x0000000000003a3a MASK 0x000000000000ffff
440.60860|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[1] WR VREF[1] ERROR 0x0000000000000000 MASK 0x000000000000ffff
440.60864|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[2] WR VREF[0] ERROR 0x0000000000003e3e MASK 0x000000000000ffff
440.60869|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[2] WR VREF[1] ERROR 0x0000000000000000 MASK 0x000000000000ffff
440.60873|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[3] WR VREF[0] ERROR 0x0000000000003e3a MASK 0x000000000000ffff
440.60878|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[3] WR VREF[1] ERROR 0x0000000000000000 MASK 0x000000000000ffff
440.60882|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[4] WR VREF[0] ERROR 0x0000000000003a00 MASK 0x000000000000ffff
440.60887|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) DP[4] WR VREF[1] ERROR 0x0000000000000000 MASK 0x000000000000ffff
440.60889|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) WRVREF_CAL_ERROR complete
440.60894|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011000 0000000000000000
440.60899|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011001 FFFFFFFFFFFFFF7F
440.60902|FAPI|mss_generic_check.H: pu.mca:k0:n0:s0:p00:c1 has a good return code, returning success
440.60903|FAPI|ddr_phy.C: Initial cal success pu.mca:k0:n0:s0:p00:c1
440.60908|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000104000A 0002000000000000
440.60911|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 00000000010F001F 0000000000000000
440.60916|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070F001F 0000000000000000
440.60918|FAPI|check.C: Did not have the PERV_LOCAL_FIR bit set. No PLL error, exiting
440.60923|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012300 0000000000000000
440.60927|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012303 DFF9F00000000000
440.60935|FAPI|mss_generic_check.H: pu.mcbist:k0:n0:s0:p00:c0 has no FIR's set on reg 0x0000000007012300 value 0x0000000000000000 and mask 0x0000000007012303 value 0xdff9f00000000000
440.60939|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A00 0000000000000000
440.60944|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A03 FFFFFFFFFFFFFFFF
440.60951|FAPI|mss_generic_check.H: pu.mca:k0:n0:s0:p00:c1 has no FIR's set on reg 0x0000000007010a00 value 0x0000000000000000 and mask 0x0000000007010a03 value 0xffffffffffffffff
440.60956|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010900 0000000000000000
440.60961|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010903 37DFC00000000000
440.60968|FAPI|mss_generic_check.H: pu.mca:k0:n0:s0:p00:c1 has no FIR's set on reg 0x0000000007010900 value 0x0000000000000000 and mask 0x0000000007010903 value 0x37dfc00000000000
440.60973|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011000 0000000000000000
440.60978|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011003 FFFFFFFFFFFFFC83
440.60985|FAPI|mss_generic_check.H: pu.mca:k0:n0:s0:p00:c1 has no FIR's set on reg 0x0000000007011000 value 0x0000000000000000 and mask 0x0000000007011003 value 0xfffffffffffffc83
440.60995|FAPI|dp16.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) recording bad bits for DIMM0 rank 0 (0) rp 0
440.61001|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007C0701103F 0000000000000000
440.61006|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007D0701103F 0000000000000000
440.61011|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047C0701103F 0000000000000000
440.61016|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047D0701103F 0000000000000000
440.61021|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087C0701103F 0000000000000000
440.61026|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087D0701103F 0000000000000000
440.61031|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7C0701103F 0000000000000000
440.61036|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7D0701103F 0000000000000000
440.61042|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000107C0701103F 00000000000000FF
440.61046|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000107D0701103F 0000000000000000
440.61050|FAPI|attribute_service.C: >>fapiAttrSetBadDqBitmap: Setting bitmap
440.68937|FAPI|attribute_service.C: >>fapiAttrGetBadDqBitmap: Getting bitmap
440.68942|FAPI|attribute_service.C: fapiAttrGetBadDqBitmap: SPD DQ not initialized.
440.68946|FAPI|attribute_service.C: <<fapiAttrGetBadDqBitmap: Finished getting bitmap
440.68956|PNOR|>>PnorIpmiDD::_writeFlash(i_addr=0x000E5000)> 
441.45416|VPD|I>sendMboxWriteMsg: Send msg to FSP to write VPD type 000000C1, record 2, offset 0x180
441.45417|VPD|I>No SP Base Services, skipping VPD write
441.45426|VPD|msg=
~[0x0000] 000000c1 00000000 00025858 58580180    *..........XXXX..*
~[0x0010] 00000000 00000050 00000000 0065c158    *.......P.....e.X*
441.45447|VPD|extra=
~[0x0000] badd4471 01000000 00000000 00000000    *..Dq............*
~[0x0010] 00000000 00000000 00000000 00000000    *................*
~[0x0020] 00000000 00000000 00000000 00000000    *................*
~[0x0030] 00000000 00000000 00000000 00000000    *................*
~[0x0040] 00000000 00000000 00000000 00000000    *................*
441.45450|FAPI|attribute_service.C: <<fapiAttrSetBadDqBitmap: Finished setting bitmap
441.47169|FAPI|unmask.C: unmask mss fir after draminit_training
441.47173|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012306 0000000000000000
441.47178|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 0004000000000000
441.47182|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012306 0000000000000000
441.47187|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 4004000000000000
441.47191|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012304 BFFFFFFFFFFFFFFF
441.47199|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010906 0000000000000000
441.47204|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010907 8800000000000000
441.47208|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010906 0000000000000000
441.47213|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010907 AD42000000000000
441.47218|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010904 DAA5FFFFFFFFFFFF
441.47220|FAPI|p9_mss_draminit_training.C: End draminit training
441.47222|ISTEPS_TRACE|SUCCESS running p9_mss_draminit_training HWP on target HUID 00250000
441.47292|ISTEPS_TRACE|call_mss_draminit_training exit
444.44661|SCOM|doMulticastWorkaround on 00050000 for 50040018
444.44716|SCOM|doMulticastWorkaround on 00050000 for 50040009
444.44960|ERRL|I>Got an error log Msg - Type: 0x00000039
444.44961|ERRL|I>Flush message received
444.44963|INITSVC|<<doIstep: step 13, substep 11
444.44965|INITSVC|>>doIstep: step 13, substep 12, task mss_draminit_trainadv
